,dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
186,MNIST,tt_type1,3,2,2,96.05,2815,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:32:59.216086
187,MNIST,tt_standard,3,2,2,93.51,1336,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:33:55.805756
188,MNIST,tt_type1,4,2,2,96.92,4379,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:35:58.965839
189,MNIST,tt_standard,4,2,2,93.94,1604,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:37:23.191171
190,MNIST,tt_type1,5,2,2,96.54,6203,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:40:03.815389
191,MNIST,tt_standard,5,2,2,93.76,1872,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:41:37.475209
192,MNIST,tt_type1,3,2,2,96.19,2815,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:43:04.949393
193,MNIST,tt_standard,3,2,2,92.98,1336,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:44:03.347316
194,MNIST,tt_type1,4,2,2,96.99,4379,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:46:11.048323
195,MNIST,tt_standard,4,2,2,93.64,1604,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:47:26.442014
196,MNIST,tt_type1,5,2,2,97.06,6203,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:50:37.234191
197,MNIST,tt_standard,5,2,2,92.49,1872,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T14:52:13.260331
198,MNIST,tt_type1,3,2,2,96.01,2815,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T14:53:54.697719
199,MNIST,tt_standard,3,2,2,93.43,1336,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T14:54:51.245988
200,MNIST,tt_type1,4,2,2,96.64,4379,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T14:56:58.446466
201,MNIST,tt_standard,4,2,2,93.2,1604,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T14:58:13.381333
202,MNIST,tt_type1,5,2,2,96.5,6203,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:00:49.984968
203,MNIST,tt_standard,5,2,2,93.55,1872,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:02:25.678779
204,FashionMNIST,tt_type1,3,2,2,85.37,2815,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:03:59.127763
205,FashionMNIST,tt_standard,3,2,2,83.4,1336,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:04:55.153136
206,FashionMNIST,tt_type1,4,2,2,85.77,4379,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:06:57.228716
207,FashionMNIST,tt_standard,4,2,2,83.59,1604,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:08:12.776202
208,FashionMNIST,tt_type1,5,2,2,62.81,6203,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:08:57.650732
209,FashionMNIST,tt_standard,5,2,2,82.72,1872,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T15:10:33.623730
210,FashionMNIST,tt_type1,3,2,2,86.04,2815,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:12:13.823581
211,FashionMNIST,tt_standard,3,2,2,83.82,1336,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:13:11.230496
212,FashionMNIST,tt_type1,4,2,2,66.87,4379,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:13:56.021213
213,FashionMNIST,tt_standard,4,2,2,52.11,1604,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:14:38.886543
214,FashionMNIST,tt_type1,5,2,2,67.03,6203,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:15:25.748716
215,FashionMNIST,tt_standard,5,2,2,84.06,1872,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T15:17:00.978868
216,FashionMNIST,tt_type1,3,2,2,85.74,2815,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:18:39.731121
217,FashionMNIST,tt_standard,3,2,2,83.09,1336,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:19:37.533098
218,FashionMNIST,tt_type1,4,2,2,86.47,4379,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:21:42.737642
219,FashionMNIST,tt_standard,4,2,2,51.48,1604,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:22:25.021734
220,FashionMNIST,tt_type1,5,2,2,84.69,6203,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:24:55.162631
221,FashionMNIST,tt_standard,5,2,2,84.28,1872,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T15:26:30.058922
222,FashionMNIST,tt_type1,3,2,2,85.68,2815,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:28:04.572849
223,FashionMNIST,tt_standard,3,2,2,83.5,1336,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:29:00.693809
224,FashionMNIST,tt_type1,4,2,2,86.42,4379,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:31:37.696981
225,FashionMNIST,tt_standard,4,2,2,26.99,1604,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:32:12.039198
226,FashionMNIST,tt_type1,5,2,2,86.55,6203,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:35:31.986415
227,FashionMNIST,tt_standard,5,2,2,13.4,1872,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-17T15:36:05.668189
228,FashionMNIST,tt_type1,3,2,2,85.78,2815,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:37:35.759643
229,FashionMNIST,tt_standard,3,2,2,63.54,1336,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:38:19.820914
230,FashionMNIST,tt_type1,4,2,2,85.64,4379,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:40:35.622757
231,FashionMNIST,tt_standard,4,2,2,64.21,1604,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:41:24.163179
232,FashionMNIST,tt_type1,5,2,2,86.25,6203,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:44:36.638137
233,FashionMNIST,tt_standard,5,2,2,61.28,1872,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-17T15:45:32.838173
